competitorId,competitorName,firstName,lastName,gender,genderId,age,ageNull,height,heightNull,weight,weightNull,bmi,bmiNull,affiliateName,affiliateId,countryOfOriginName,countryOfOriginCode,regionName,regionId,status,statusId,year,overallRank,overallScore,openCompetitor,openRank,openScore,gamesCompetitions,openCompetitions
698210,Karin Freyová,Karin,Freyová,F,2,27,0,170.0,0,72.0,0,24.913494809688583,0,Alpha Prime CrossFit,22093,Slovakia,34,Europe,4,ACT,1,2022,20,642,1,42,239,2,3
698210,Karin Freyová,Karin,Freyová,F,2,28,0,170.0,0,72.0,0,24.913494809688583,0,Alpha Prime CrossFit,22093,Slovakia,34,Europe,4,ACT,1,2023,0,0,1,85,1202,2,4
702092,Willy Georges,Willy,Georges,M,1,25,0,179.0,0,88.0,0,27.46481071127618,0,CrossFit DBS 83,16786,France,17,Europe,4,ACT,1,2018,9,728,1,3,596,1,1
702092,Willy Georges,Willy,Georges,M,1,26,0,179.0,0,88.0,0,27.46481071127618,0,CrossFit Lutece,10324,France,17,Europe,4,CUT,4,2019,21,245,1,33,537,2,2
702092,Willy Georges,Willy,Georges,M,1,29,0,179.0,0,88.0,0,27.46481071127618,0,WYS CrossFit,28670,France,17,Europe,4,ACT,1,2022,17,688,1,36,279,3,3
703126,Khalid Aljarallah,Khalid,Aljarallah,M,1,32,0,175.0,0,88.0,0,28.73469387755102,0,Circuit Plus CrossFit Shuwaikh,4663,Kuwait,50,Asia,6,CUT,4,2019,76,0,1,1000,5000,0,1
704718,David Shanahan,David,Shanahan,M,1,16,0,177.3722891566265,1,88.37544696066746,1,28.084429605483873,1,,0,,0,,0,ACT,1,2007,23,206,0,1000,5000,1,1
722854,Robert Berisha,Robert,Berisha,M,1,32,0,170.0,0,80.0,0,27.68166089965398,0,CrossFit HelvetiX,9681,Kosovo,83,South America,3,CUT,4,2019,116,0,1,1000,5000,0,1
728984,Sanjana Sivasalapathi,Sanjana,Sivasalapathi,F,2,26,0,165.37482517482516,1,65.66385372714487,1,24.01308087921364,1,CrossFit Wolvish,9106,India,101,Asia,6,CUT,4,2019,70,18,1,846,5000,1,1
733576,Mihkel Keldoja,Mihkel,Keldoja,M,1,24,0,181.0,0,88.0,0,26.861206922865602,0,CrossFit Tartu,5203,Estonia,60,Europe,4,CUT,4,2019,89,0,1,1000,5000,0,1
737357,Martha Berrocal,Martha,Berrocal,F,2,32,0,163.0,0,58.0,0,21.829952199932254,0,Barra Norte CrossFit,12318,Bolivia,103,South America,3,CUT,4,2019,92,0,1,329,3654,0,1
747027,Kelly Baker,Kelly,Baker,F,2,31,0,163.0,0,69.0,0,25.970115548195267,0,CrossFit Greater Heights,26399,United States,1,North America,1,ACT,1,2023,0,0,1,11,365,0,1
755342,Zachery Buntin,Zachery,Buntin,M,1,25,0,183.0,0,103.0,0,30.756367762548894,0,CrossFit T-Town,6628,United States,1,North America,1,CUT,4,2019,88,0,1,13,360,0,1
762495,Elena Carratala Sanahuja,Elena,Carratala Sanahuja,F,2,28,0,164.0,0,63.0,0,23.423557406305775,0,CrossFit 4 Friends,19523,Spain,15,Europe,4,CUT,4,2022,38,223,1,44,259,1,1
764556,Gabriela Migała,Gabriela,Migała,F,2,20,0,170.0,0,75.0,0,25.95155709342561,0,CrossFit 72D,7709,Poland,26,Europe,4,CUT,4,2019,75,0,1,30,635,0,1
764556,Gabriela Migała,Gabriela,Migała,F,2,21,0,170.0,0,75.0,0,25.95155709342561,0,CrossFit 72D,7709,Poland,26,Europe,4,ACT,1,2020,18,0,1,17,193,0,2
