competitorId,competitorName,firstName,lastName,status,gender,countryOfOriginCode,countryOfOriginName,regionId,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,genderId,year
11435,Rich Froning,Rich,Froning,ACT,M,,,6,Central East,1941,CrossFit Faith,24,,,1,41,1,2012
5783,Sean Thomson,Sean,Thomson,ACT,M,,,9,Mid Atlantic,1312,,26,,,2,144,1,2012
21343,Kenneth Leverich,Kenneth,Leverich,ACT,M,,,16,Southern California,1700,,24,,,3,197,1,2012
47661,Dan Bailey,Dan,Bailey,ACT,M,,,6,Central East,1941,CrossFit Faith,28,,,4,251,1,2012
42803,Orlando Trejo,Orlando,Trejo,ACT,M,,,8,Latin America,756,CrossFit Peru,24,,,5,272,1,2012
24156,Neal Maddox,Neal,Maddox,ACT,M,,,12,Northern California,3606,CrossFit X-treme Athletics,34,,,6,296,1,2012
5541,Thomas Hooton,Thomas,Hooton,ACT,M,,,9,Mid Atlantic,2101,Mountaineer CrossFit,28,,,7,302,1,2012
11644,Joey Warren,Joey,Warren,ACT,M,,,12,Northern California,1668,,29,,,8,303,1,2012
11337,Brandon Pastorek,Brandon,Pastorek,ACT,M,,,10,North Central,1815,,27,,,9,369,1,2012
12485,Jason Khalipa,Jason,Khalipa,ACT,M,,,12,Northern California,2605,,26,,,10,373,1,2012
1819,Justin Allen,Justin,Allen,ACT,M,,,10,North Central,1609,,26,,,11,463,1,2012
49510,Albert-Dominic Larouche,Albert-Dominic,Larouche,ACT,M,,,4,Canada East,2054,,22,,,12,549,1,2012
31660,Jon Pera,Jon,Pera,ACT,M,,,16,Southern California,431,CrossFit Rancho Cucamonga,29,,,13,555,1,2012
29334,Jarett Perelmutter,Jarett,Perelmutter,ACT,M,,,16,Southern California,1912,Brick CrossFit,37,,,14,588,1,2012
9241,Chase Daniels,Chase,Daniels,ACT,M,,,15,South East,0,,26,,,14,588,1,2012
5200,Pat Barber,Pat,Barber,ACT,M,,,12,Northern California,2605,,26,,,16,630,1,2012
5312,Nick Urankar,Nick,Urankar,ACT,M,,,6,Central East,3836,CrossFit 061,28,,,17,656,1,2012
66405,Mike Mckenna,Mike,Mckenna,ACT,M,,,11,North East,362,,24,,,18,677,1,2012
8067,Brandon Phillips,Brandon,Phillips,ACT,M,,,15,South East,219,CrossFit Kennesaw,29,,,19,694,1,2012
9611,Peter D'Amore,Peter,D'Amore,ACT,M,,,4,Canada East,1593,CrossFit Battlefield,27,,,20,697,1,2012
42206,Kevin Simons,Kevin,Simons,ACT,M,,,13,North West,2192,,24,,,21,739,1,2012
11424,Nick Fory,Nick,Fory,ACT,M,,,6,Central East,1888,Mad City CrossFit,26,,,22,761,1,2012
67386,Travis Page,Travis,Page,ACT,M,,,6,Central East,1814,,37,,,23,792,1,2012
43761,Ben Smith,Ben,Smith,ACT,M,,,9,Mid Atlantic,0,,22,,,24,822,1,2012
23758,David Charbonneau,David,Charbonneau,ACT,M,,,11,North East,1223,,26,,,25,837,1,2012
7285,Rob Forte,Rob,Forte,ACT,M,,,3,Australia,1348,Reebok CrossFit Frankston,25,,,26,866,1,2012
34796,Scott Panchik,Scott,Panchik,ACT,M,,,6,Central East,1814,,24,,,27,884,1,2012
10593,Zach Forrest,Zach,Forrest,ACT,M,,,17,South West,2760,,26,,,28,889,1,2012
26902,Chad Augustin,Chad,Augustin,ACT,M,,,12,Northern California,333,Rocklin CrossFit,38,,,29,912,1,2012
18543,Frederik aegidius,Frederik,Aegidius,ACT,M,,,7,Europe,2732,,25,,,30,938,1,2012
55226,Irving Hernandez,Irving,Hernandez,ACT,M,,,15,South East,851,CrossFit Paragon,24,,,31,963,1,2012
8747,Bill Grundler,Bill,Grundler,ACT,M,,,16,Southern California,809,CrossFit Inferno,43,,,32,965,1,2012
8496,Gabe Subry,Gabe,Subry,ACT,M,,,12,Northern California,1216,CrossFit 209 Sport,31,,,33,1020,1,2012
6190,ryan fischer,Ryan,Fischer,ACT,M,,,16,Southern California,2772,,25,,,34,1023,1,2012
32775,Brett Sepi,Brett,Sepi,ACT,M,,,6,Central East,458,,24,,,35,1036,1,2012
5718,Jason Hoggan,Jason,Hoggan,ACT,M,,,14,South Central,2921,CrossFit Heath,28,,,35,1036,1,2012
27065,Chris Spealler,Chris,Spealler,ACT,M,,,17,South West,1038,CrossFit Park City,33,,,37,1043,1,2012
22026,Josh Wagner,Josh,Wagner,ACT,M,,,9,Mid Atlantic,666,CrossFit Apex,30,,,38,1066,1,2012
5284,Daniel Tyminski,Daniel,Tyminski,ACT,M,,,11,North East,2016,,26,,,39,1067,1,2012
41380,Nick Lucchesi,Nick,Lucchesi,ACT,M,,,12,Northern California,716,,22,,,40,1070,1,2012
26124,Jud Dean,Jud,Dean,ACT,M,,,9,Mid Atlantic,1018,,31,,,41,1074,1,2012
8023,Philip Bengtsson,Philip,Bengtsson,ACT,M,,,7,Europe,3399,CrossFit Malmö,25,,,42,1106,1,2012
23419,Garry Martin II,Garry,Martin II,ACT,M,,,10,North Central,0,,31,,,43,1114,1,2012
34601,Stefano Migliorini,Stefano,Migliorini,ACT,M,,,7,Europe,1881,,23,,,44,1163,1,2012
10169,Austin Malleolo,Austin,Malleolo,ACT,M,,,11,North East,3574,Reebok CrossFit One,25,,,45,1167,1,2012
7314,Brandon Swan,Brandon,Swan,ACT,M,,,3,Australia,2032,CrossFit Western Front,21,,,45,1167,1,2012
11416,Mike Abgarian,Mike,Abgarian,ACT,M,,,9,Mid Atlantic,3038,,28,,,47,1208,1,2012
7687,Zack Height,Zack,Height,ACT,M,,,12,Northern California,1216,CrossFit 209 Sport,27,,,48,1210,1,2012
12351,Adrian Lui,Adrian,Lui,ACT,M,,,4,Canada East,733,CrossFit Connection,27,,,49,1240,1,2012
5588,Jay Rhodes,Jay,Rhodes,ACT,M,,,4,Canada East,2485,,28,,,50,1264,1,2012
16583,AJ Moore,AJ,Moore,ACT,M,,,15,South East,1054,,27,,,51,1267,1,2012
47666,Kieran Hogan,Kieran,Hogan,ACT,M,,,3,Australia,830,CrossFit Melbourne,24,,,52,1282,1,2012
6083,Christopher Guerrero,Christopher,Guerrero,ACT,M,,,11,North East,1387,CrossFit Westchester,27,,,53,1301,1,2012
30465,Ian Berger,Ian,Berger,ACT,M,,,11,North East,2140,,21,,,54,1333,1,2012
11826,Phillip Kniep,Phillip,Kniep,ACT,M,,,10,North Central,2005,CrossFit Lincoln,29,,,55,1342,1,2012
18006,Matthew Lefave,Matthew,Lefave,ACT,M,,,4,Canada East,2571,CrossFit DeltaTrain,31,,,56,1365,1,2012
6860,Kyle Sikes,Kyle,Sikes,ACT,M,,,11,North East,2917,CrossFit 207,23,,,57,1388,1,2012
4330,Andrew Koch,Andrew,Koch,ACT,M,,,10,North Central,610,CrossFit Springfield,30,,,58,1393,1,2012
47413,Paul Smith,Paul,Smith,ACT,M,,,11,North East,1347,,34,,,59,1404,1,2012
3172,Jamie Lee,Jamie,Lee,ACT,M,,,12,Northern California,793,Diablo CrossFit,27,,,60,1410,1,2012
11446,Dominick Maurici,Dominick,Maurici,ACT,M,,,15,South East,2960,Caution CrossFit Miami Lakes,23,,,61,1418,1,2012
9230,Jason Cain,Jason,Cain,ACT,M,,,5,Canada West,3275,CrossFit 306,34,,,62,1466,1,2012
59012,Kevin Longmeier,Kevin,Longmeier,ACT,M,,,13,North West,967,CrossFit Spokane Valley,30,,,63,1468,1,2012
35263,John (JT) Dahlinger,John (JT),Dahlinger,ACT,M,,,9,Mid Atlantic,424,CrossFit R.A.W.,27,,,64,1476,1,2012
57589,Drew Shamblin,Drew,Shamblin,ACT,M,,,15,South East,245,,25,,,65,1510,1,2012
66443,Nick Zambruno,Nick,Zambruno,ACT,M,,,17,South West,1016,,25,,,66,1518,1,2012
30180,Guido Trinidad,Guido,Trinidad,ACT,M,,,15,South East,2509,Peak 360 CrossFit,31,,,67,1522,1,2012
7323,Brendan Southwick,Brendan,Southwick,ACT,M,,,3,Australia,1709,CrossFit Sanur,28,,,67,1522,1,2012
30740,Ben Stoneberg,Ben,Stoneberg,ACT,M,,,13,North West,289,,25,,,69,1541,1,2012
44314,Jason Ingham,Jason,Ingham,ACT,M,,,15,South East,1328,,25,,,69,1541,1,2012
11676,Sinan Gocmen,Sinan,Gocmen,ACT,M,,,10,North Central,2094,,30,,,71,1544,1,2012
6792,apollo lewis,Apollo,Lewis,ACT,M,,,13,North West,2533,,26,,,72,1547,1,2012
12315,Josh Golden,Josh,Golden,ACT,M,,,16,Southern California,3159,CrossFit Grover Beach,29,,,73,1553,1,2012
22365,Devin Ford,Devin,Ford,ACT,M,,,11,North East,3604,,22,,,74,1558,1,2012
35012,Jeremy Kinnick,Jeremy,Kinnick,ACT,M,,,16,Southern California,472,CrossFit Kinnick,33,,,75,1571,1,2012
5642,Matt Baird,Matt,Baird,ACT,M,,,15,South East,399,,26,,,76,1622,1,2012
2515,Courtney Wuistinger,Courtney,Wuistinger,ACT,M,,,14,South Central,1524,CrossFit Bolt,30,,,77,1635,1,2012
14646,Geoff Turner,Geoff,Turner,ACT,M,,,17,South West,1778,CrossFit Modig,37,,,78,1639,1,2012
17703,Matt Chan,Matt,Chan,ACT,M,,,17,South West,1176,CrossFit Verve,34,,,79,1646,1,2012
8797,Ryan Swobody,Ryan,Swobody,ACT,M,,,13,North West,3228,CrossFit Marysville,28,,,80,1649,1,2012
8388,Henry Lopez,Henry,Lopez,ACT,M,,,9,Mid Atlantic,3154,CrossFit Oyster Point,26,,,81,1674,1,2012
8312,Buddy Hitchcock,Buddy,Hitchcock,ACT,M,,,12,Northern California,730,CrossFit Excel,22,,,82,1678,1,2012
7802,Will Zerlang,Will,Zerlang,ACT,M,,,12,Northern California,1877,Humboldt CrossFit,32,,,83,1680,1,2012
15026,David Millar,David,Millar,ACT,M,,,16,Southern California,0,,25,,,84,1700,1,2012
4158,Blair Morrison,Blair,Morrison,ACT,M,,,12,Northern California,2807,CrossFit Anywhere,30,,,85,1705,1,2012
51041,Chad Mackay,Chad,Mackay,ACT,M,,,3,Australia,1645,,30,,,86,1731,1,2012
51655,Davide Marini,Davide,Marini,ACT,M,,,7,Europe,1490,CrossFit M1,26,,,87,1755,1,2012
6148,Connor Nelson,Connor,Nelson,ACT,M,,,13,North West,747,CrossFit X,22,,,88,1757,1,2012
56923,Joseph Weigel,Joseph,Weigel,ACT,M,,,6,Central East,458,,22,,,89,1759,1,2012
4820,Noah Pester,Noah,Pester,ACT,M,,,13,North West,3228,CrossFit Marysville,30,,,90,1780,1,2012
