competitorId,competitorName,firstName,lastName,status,gender,countryOfOriginCode,countryOfOriginName,regionId,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,genderId,year
11209,Adam Neiffer,Adam,Neiffer,ACT,M,,,13,North West,1792,CrossFit Fort Vancouver,28,,,91,1793,1,2012
11700,Gerald Sasser,Gerald,Sasser,ACT,M,,,6,Central East,0,,22,,,92,1815,1,2012
9092,Kameron Rosenau,Kameron,Rosenau,ACT,M,,,10,North Central,983,,26,,,93,1824,1,2012
18192,Matt Sharp,Matt,Sharp,ACT,M,,,6,Central East,2307,CrossFit Maximus,34,,,94,1829,1,2012
43640,Aaron Johnson,Aaron,Johnson,ACT,M,,,15,South East,315,CrossFit Spartanburg,28,,,95,1831,1,2012
6555,Dan Staton,Dan,Staton,ACT,M,,,13,North West,967,CrossFit Spokane Valley,30,,,96,1836,1,2012
14333,Robert Perovich,Robert,Perovich,ACT,M,,,5,Canada West,2126,CrossFit Fraser Valley,35,,,97,1844,1,2012
14711,daniel skidmore,Daniel,Skidmore,ACT,M,,,9,Mid Atlantic,571,,24,,,98,1848,1,2012
63058,David Lipson,David,Lipson,ACT,M,,,16,Southern California,600,CrossFit Invictus,30,,,99,1855,1,2012
11993,Jason Leydon,Jason,Leydon,ACT,M,,,11,North East,736,CrossFit Milford,32,,,100,1860,1,2012
3421,Mike Kluegel,Mike,Kluegel,ACT,M,,,12,Northern California,333,Rocklin CrossFit,26,,,101,1864,1,2012
10917,Eric Magee,Eric,Magee,ACT,M,,,11,North East,3105,,28,,,102,1879,1,2012
41853,drew demarta,Drew,Demarta,ACT,M,,,12,Northern California,213,Tamalpais CrossFit,26,,,103,1886,1,2012
4833,Shawn Stauffer,Shawn,Stauffer,ACT,M,,,6,Central East,3258,CrossFit Future,33,,,104,1889,1,2012
14443,Ryne Reeves,Ryne,Reeves,ACT,M,,,13,North West,944,,27,,,105,1893,1,2012
53824,Tyson Takasaki,Tyson,Takasaki,ACT,M,,,5,Canada West,0,,24,,,106,1957,1,2012
25619,Brian Prochaska,Brian,Prochaska,ACT,M,,,15,South East,615,,35,,,107,1958,1,2012
11451,Graham Holmberg,Graham,Holmberg,ACT,M,,,6,Central East,1710,CrossFit Grandview,27,,,108,1990,1,2012
9983,Roch Proteau,Roch,Proteau,ACT,M,,,4,Canada East,964,,31,,,109,1999,1,2012
4945,James Hobart,James,Hobart,ACT,M,,,11,North East,505,CrossFit New England,26,,,110,2017,1,2012
53379,Matt Brisebois,Matt,Brisebois,ACT,M,,,14,South Central,1413,,22,,,111,2025,1,2012
56553,Lee Lyles,Lee,Lyles,ACT,M,,,17,South West,921,Front Range CrossFit,31,,,112,2031,1,2012
18418,Matt Lodin,Matt,Lodin,ACT,M,,,16,Southern California,1305,,25,,,113,2035,1,2012
12825,Justin VanBeek,Justin,VanBeek,ACT,M,,,10,North Central,3578,CrossFit Hydro,29,,,114,2042,1,2012
4388,Chad Furey,Chad,Furey,ACT,M,,,4,Canada East,2413,,24,,,115,2045,1,2012
20035,Dustin Wetter,Dustin,Wetter,ACT,M,,,11,North East,3462,,30,,,116,2046,1,2012
9402,Tommy Pease,Tommy,Pease,ACT,M,,,16,Southern California,2066,CrossFit Trifecta,34,,,117,2052,1,2012
2784,Drew Bignall,Drew,Bignall,ACT,M,,,14,South Central,2911,Mission CrossFit San Antonio,26,,,118,2055,1,2012
24538,Yurii Hanson,Yurii,Hanson,ACT,M,,,13,North West,438,CrossFit Billings,35,,,119,2057,1,2012
4895,Jordan Troyan,Jordan,Troyan,ACT,M,,,9,Mid Atlantic,3997,CrossFit Rage,28,,,120,2067,1,2012
25569,Kyle Kasperbauer,Kyle,Kasperbauer,ACT,M,,,10,North Central,1033,CrossFit Omaha,30,,,121,2116,1,2012
23904,Chad Melton,Chad,Melton,ACT,M,,,16,Southern California,930,,22,,,122,2158,1,2012
9124,Dan Bosco,Dan,Bosco,ACT,M,,,4,Canada East,2168,Windsor CrossFit,25,,,123,2208,1,2012
10822,Mikko Aronpää,Mikko,Aronpää,ACT,M,,,7,Europe,0,,28,,,124,2219,1,2012
4842,Wayne Willette,Wayne,Willette,ACT,M,,,16,Southern California,1901,CrossFit CrownTown,32,,,125,2237,1,2012
16196,Patrick oconnell,Patrick,oconnell,ACT,M,,,6,Central East,3613,,24,,,126,2244,1,2012
12163,Scott Wells,Scott,Wells,ACT,M,,,14,South Central,415,,33,,,127,2255,1,2012
10891,Brennan Morton,Brennan,Morton,ACT,M,,,9,Mid Atlantic,1694,NEPA CrossFit,31,,,128,2261,1,2012
14002,Eric Botsford,Eric,Botsford,ACT,M,,,12,Northern California,2098,,32,,,129,2264,1,2012
21720,landon brazell,Landon,Brazell,ACT,M,,,15,South East,1527,CrossFit Embrace,30,,,130,2272,1,2012
16421,Marcus Hendren,Marcus,Hendren,ACT,M,,,6,Central East,1915,CrossFit New Albany,23,,,131,2287,1,2012
36167,Josh Ingham,Josh,Ingham,ACT,M,,,15,South East,1328,,25,,,132,2288,1,2012
24665,Kyle Jacobson,Kyle,Jacobson,ACT,M,,,13,North West,265,,29,,,133,2305,1,2012
14502,casey parlett,Casey,Parlett,ACT,M,,,16,Southern California,3163,,27,,,133,2305,1,2012
31873,Austin Stack,Austin,Stack,ACT,M,,,13,North West,552,CrossFit The Den,27,,,135,2309,1,2012
15170,Dirty Alvarez,Dirty,Alvarez,ACT,M,,,12,Northern California,838,CrossFit Oahu,23,,,136,2312,1,2012
32052,Lacee Kovacs,Lacee,Kovacs,ACT,M,,,7,Europe,0,,25,,,136,2312,1,2012
5692,Ian McHugh,Ian,McHugh,ACT,M,,,16,Southern California,2649,,28,,,138,2314,1,2012
53314,Nate Schrader,Nate,Schrader,ACT,M,,,9,Mid Atlantic,3620,,27,,,139,2315,1,2012
4777,Adam Piccari,Adam,Piccari,ACT,M,,,17,South West,1402,,24,,,140,2338,1,2012
8385,Bobby Noyce,Bobby,Noyce,ACT,M,,,10,North Central,3040,CrossFit 515,23,,,141,2339,1,2012
18866,Taylor Yaffee,Taylor,Yaffee,ACT,M,,,16,Southern California,764,,19,,,142,2340,1,2012
20931,Nathan Doud,Nathan,Doud,ACT,M,,,16,Southern California,1635,BeachSide CrossFit,30,,,143,2363,1,2012
6975,Joe Masley,Joe,Masley,ACT,M,,,11,North East,1365,CrossFit Southie,25,,,144,2369,1,2012
48518,Tory Morgan,Tory,Morgan,ACT,M,,,16,Southern California,1322,,27,,,145,2371,1,2012
25957,Alex Nettey,Alex,Nettey,ACT,M,,,10,North Central,789,,28,,,146,2372,1,2012
10888,Steve Walters,Steve,Walters,ACT,M,,,15,South East,1095,CrossFit HardCore,30,,,147,2375,1,2012
19897,Ray Krumme,Ray,Krumme,ACT,M,,,5,Canada West,0,,34,,,148,2399,1,2012
26106,Will Trujillo,Will,Trujillo,ACT,M,,,17,South West,1164,CrossFit Fury,25,,,149,2407,1,2012
15787,David Cornthwaite,David,Cornthwaite,ACT,M,,,10,North Central,2379,CrossFit St. Louis,30,,,150,2429,1,2012
16869,Shawn Butler,Shawn,Butler,ACT,M,,,9,Mid Atlantic,3058,CrossFit FiveStar,31,,,151,2448,1,2012
41702,Mike Witte,Mike,Witte,ACT,M,,,14,South Central,654,CrossFit Strong,25,,,152,2452,1,2012
6888,Matt Barnes,Matt,Barnes,ACT,M,,,12,Northern California,1820,,39,,,153,2473,1,2012
23114,dave ulmer,dave,ulmer,ACT,M,,,6,Central East,2997,CrossFit 614,29,,,154,2507,1,2012
33129,Drew Hymer,Drew,Hymer,ACT,M,,,10,North Central,983,,25,,,155,2524,1,2012
25870,David Callahan,David,Callahan,ACT,M,,,11,North East,1641,Shoreline CrossFit,35,,,156,2526,1,2012
50186,Jeremy March,Jeremy,March,ACT,M,,,10,North Central,492,CrossFit NWA,32,,,157,2537,1,2012
3981,zachary hebert,Zachary,Hebert,ACT,M,,,4,Canada East,0,,32,,,158,2546,1,2012
13277,Gregory Mountain,Gregory,Mountain,ACT,M,,,16,Southern California,214,,28,,,159,2554,1,2012
11436,Pete Rasmusen,Pete,Rasmusen,ACT,M,,,10,North Central,1314,CrossFit Carbon,31,,,160,2556,1,2012
9752,Chad Wittman,Chad,Wittman,ACT,M,,,11,North East,3574,Reebok CrossFit One,32,,,160,2556,1,2012
43993,Ryan Hignell,Ryan,Hignell,ACT,M,,,12,Northern California,0,,22,,,162,2557,1,2012
2720,Justin Adams,Justin,Adams,ACT,M,,,14,South Central,2699,Woodward CrossFit,22,,,163,2570,1,2012
13913,Marcus Filly,Marcus,Filly,ACT,M,,,12,Northern California,1491,,27,,,164,2575,1,2012
5300,Steve Mullen,Steve,Mullen,ACT,M,,,15,South East,399,,31,,,165,2579,1,2012
32245,Caleb Gregory,Caleb,Gregory,ACT,M,,,6,Central East,402,CrossFit CHF,29,,,166,2622,1,2012
5369,Matt Streenz,Matt,Streenz,ACT,M,,,10,North Central,1241,,34,,,167,2640,1,2012
68977,mike cahill,mike,cahill,ACT,M,,,16,Southern California,918,CrossFit Costa Mesa,26,,,168,2641,1,2012
10991,Michael Barousse,Michael,Barousse,ACT,M,,,14,South Central,2178,Ragin' CrossFit,28,,,169,2643,1,2012
14289,john Zvejnieks,John,Zvejnieks,ACT,M,,,9,Mid Atlantic,754,,28,,,170,2652,1,2012
4307,Ryan Troupe,Ryan,Troupe,ACT,M,,,9,Mid Atlantic,3647,Capital CrossFit,26,,,171,2656,1,2012
2566,Jack Hile,Jack,Hile,ACT,M,,,11,North East,1946,CrossFit Newton,20,,,172,2732,1,2012
16753,Matt Temesy,Matt,Temesy,ACT,M,,,9,Mid Atlantic,1588,CrossFit Clayton,30,,,172,2732,1,2012
24771,Ken Crowder,Ken,Crowder,ACT,M,,,9,Mid Atlantic,1839,,22,,,174,2734,1,2012
29752,Trey Kubacak,Trey,Kubacak,ACT,M,,,14,South Central,669,CrossFit Dallas Central,25,,,175,2750,1,2012
20717,Bryan Diaz,Bryan,Diaz,ACT,M,,,14,South Central,897,Bayou City CrossFit,29,,,176,2751,1,2012
11236,Brendan Marolda,Brendan,Marolda,ACT,M,,,11,North East,1201,Yankee CrossFit,27,,,177,2755,1,2012
50866,Spencer Hendel,Spencer,Hendel,ACT,M,,,11,North East,3574,Reebok CrossFit One,23,,,178,2770,1,2012
23011,Chris Gosler,Chris,Gosler,ACT,M,,,11,North East,1365,CrossFit Southie,28,,,178,2770,1,2012
8222,Joshua Page,Joshua,Page,ACT,M,,,10,North Central,1381,,23,,,180,2773,1,2012
12367,Adam Jamieson,Adam,Jamieson,ACT,M,,,12,Northern California,838,CrossFit Oahu,25,,,181,2809,1,2012
20880,George Fairley,George,Fairley,ACT,M,,,10,North Central,2779,,29,,,182,2815,1,2012
40915,Travis Touma,Travis,Touma,ACT,M,,,3,Australia,3048,,34,,,183,2817,1,2012
14586,Nicholas Wall,Nicholas,Wall,ACT,M,,,15,South East,1916,,27,,,184,2842,1,2012
25379,Anthony Santa-Iglesia,Anthony,Santa-Iglesia,ACT,M,,,12,Northern California,2990,CrossFit Burlingame,27,,,185,2845,1,2012
38209,Lucas Parker,Lucas,Parker,ACT,M,,,5,Canada West,757,CrossFit Zone,22,,,186,2851,1,2012
10668,james goulden,James,Goulden,ACT,M,,,7,Europe,1781,,35,,,187,2870,1,2012
2725,Noah Ohlsen,Noah,Ohlsen,ACT,M,,,15,South East,2509,Peak 360 CrossFit,21,,,188,2871,1,2012
43891,David Borrelli,David,Borrelli,ACT,M,,,9,Mid Atlantic,2925,CrossFit Eternal,23,,,189,2891,1,2012
2358,Jeffrey Ramos,Jeffrey,Ramos,ACT,M,,,16,Southern California,1276,,40,,,190,2898,1,2012
5456,Nicholas DelGrande,Nicholas,DelGrande,ACT,M,,,11,North East,2057,CrossFit Casco Bay,20,,,191,2902,1,2012
39447,Basile Beaty,Basile,Beaty,ACT,M,,,16,Southern California,2772,,26,,,192,2933,1,2012
39857,Todd Edmunds,Todd,Edmunds,ACT,M,,,9,Mid Atlantic,424,CrossFit R.A.W.,35,,,193,2957,1,2012
5760,Larry Ford,Larry,Ford,ACT,M,,,11,North East,3604,,27,,,194,2980,1,2012
4113,Josh Nimmo,Josh,Nimmo,ACT,M,,,10,North Central,1928,CrossFit MetroEast,27,,,195,2982,1,2012
13061,Chad Cole,Chad,Cole,ACT,M,,,17,South West,1923,CrossFit Apollo,22,,,196,2989,1,2012
24047,Dustin Winterhalt,Dustin,Winterhalt,ACT,M,,,6,Central East,599,CrossFit Steel Place,31,,,197,3007,1,2012
2239,Kevin Bowles,Kevin,Bowles,ACT,M,,,4,Canada East,329,CrossFit Oshawa,26,,,198,3055,1,2012
11232,Zeph Littleton,Zeph,Littleton,ACT,M,,,14,South Central,2383,CrossFit XLR8,26,,,199,3057,1,2012
34816,Elijah Muhammad,Elijah,Muhammad,ACT,M,,,6,Central East,1941,CrossFit Faith,24,,,200,3071,1,2012
5399,Steve Howell,Steve,Howell,ACT,M,,,5,Canada West,891,CrossFit Whistler,26,,,201,3076,1,2012
36462,Noah Gabriel-Landis,Noah,Gabriel-Landis,ACT,M,,,9,Mid Atlantic,199,District CrossFit,27,,,202,3079,1,2012
9724,Craig Charton,Craig,Charton,ACT,M,,,6,Central East,458,,26,,,203,3081,1,2012
36154,Aja Barto,Aja,Barto,ACT,M,,,14,South Central,4053,,25,,,204,3102,1,2012
12457,Brian Kost,Brian,Kost,ACT,M,,,15,South East,2506,CrossFit Integrity,35,,,205,3135,1,2012
56288,shawn woods,Shawn,Woods,ACT,M,,,17,South West,1923,CrossFit Apollo,20,,,205,3135,1,2012
43408,Aaron James,Aaron,James,ACT,M,,,3,Australia,1377,CrossFit Mana,30,,,207,3166,1,2012
21850,Denver McPhail,Denver,McPhail,ACT,M,,,10,North Central,1150,CrossFit Jenks,29,,,208,3169,1,2012
4537,Ben Alderman,Ben,Alderman,ACT,M,,,12,Northern California,3582,,29,,,209,3174,1,2012
1834,Jesse Haines,Jesse,Haines,ACT,M,,,14,South Central,3752,CrossFit Rowlett,29,,,210,3182,1,2012
14018,Jason Schroeder,Jason,Schroeder,ACT,M,,,11,North East,2631,CrossFit Willow,31,,,211,3193,1,2012
3401,Jacob Theriot,Jacob,Theriot,ACT,M,,,14,South Central,3651,,21,,,212,3229,1,2012
27946,Kirk victorian,Kirk,Victorian,ACT,M,,,14,South Central,2056,Get Lifted CrossFit,32,,,213,3271,1,2012
13269,Robby Boutwell,Robby,Boutwell,ACT,M,,,15,South East,508,,30,,,214,3281,1,2012
3888,Kevin Manuel,Kevin,Manuel,ACT,M,,,3,Australia,2043,CrossFit Hawkes Bay,26,,,215,3285,1,2012
30862,Vic Zachary,Vic,Zachary,ACT,M,,,14,South Central,897,Bayou City CrossFit,30,,,216,3293,1,2012
26702,Angelo Fosco,Angelo,Fosco,ACT,M,,,10,North Central,63,,26,,,217,3294,1,2012
7964,Cory Buerck,Cory,Buerck,ACT,M,,,10,North Central,2563,CrossFit Xtra Mile,26,,,218,3309,1,2012
27567,David Stowe,David,Stowe,ACT,M,,,6,Central East,0,,28,,,219,3321,1,2012
7905,Jared Stevens,Jared,Stevens,ACT,M,,,10,North Central,121,,27,,,220,3343,1,2012
17557,Tate Worswick,Tate,Worswick,ACT,M,,,16,Southern California,2212,,28,,,221,3364,1,2012
17477,Ty Hanson,Ty,Hanson,ACT,M,,,15,South East,1798,,32,,,222,3383,1,2012
2989,Gregory Pitts,Gregory,Pitts,ACT,M,,,16,Southern California,1305,,25,,,223,3389,1,2012
18342,Matthieu Dubreucq,Matthieu,Dubreucq,ACT,M,,,4,Canada East,544,CrossFit Laval,29,,,224,3395,1,2012
11756,Maguid Nicholas,Maguid,Nicholas,ACT,M,,,4,Canada East,1212,,23,,,225,3401,1,2012
23106,Scott Linton,Scott,Linton,ACT,M,,,9,Mid Atlantic,1675,CrossFit Charlottesville,25,,,226,3422,1,2012
44445,Ben Thompson,Ben,Thompson,ACT,M,,,3,Australia,2188,CrossFit Dunedin,24,,,227,3424,1,2012
7014,Ricky Baylor,Ricky,Baylor,ACT,M,,,11,North East,1472,CrossFit 1 Force,29,,,228,3447,1,2012
23326,gary baron,Gary,Baron,ACT,M,,,12,Northern California,333,Rocklin CrossFit,28,,,229,3460,1,2012
1636,Bart Boyd,Bart,Boyd,ACT,M,,,10,North Central,3040,CrossFit 515,31,,,230,3463,1,2012
12324,Zach Brock,Zach,Brock,ACT,M,,,9,Mid Atlantic,220,CrossFit Vitality,23,,,231,3475,1,2012
4406,Matt Hathcock,Matt,Hathcock,ACT,M,,,17,South West,1234,,27,,,232,3490,1,2012
11391,Númi Snær Katrínarson,Númi Snær,Katrínarson,ACT,M,,,7,Europe,1009,CrossFit Nordic,32,,,232,3490,1,2012
9408,Luke Starr,Luke,Starr,ACT,M,,,3,Australia,1645,,29,,,234,3511,1,2012
23127,Jared San Nicolas,Jared,San Nicolas,ACT,M,,,16,Southern California,2848,,27,,,234,3511,1,2012
7477,Desmond Bittner,Desmond,Bittner,ACT,M,,,12,Northern California,466,Delta CrossFit,30,,,236,3517,1,2012
15358,Derek French,Derek,French,ACT,M,,,6,Central East,263,Evansville CrossFit,27,,,237,3525,1,2012
